SPEAKER,TEXT
HOLT,"Good evening from Hofstra University in Hempstead, New York. I'm Lester Holt, anchor of ""NBC Nightly News."" I want to welcome you to the first presidential debate. The participants tonight are Donald Trump and Hillary Clinton. This debate is sponsored by the Commission on Presidential Debates, a nonpartisan, nonprofit organization. The commission drafted tonight's format, and the rules have been agreed to by the campaigns. The 90-minute debate is divided into six segments, each 15 minutes long. We'll explore three topic areas tonight: Achieving prosperity; America's direction; and securing America. At the start of each segment, I will ask the same lead-off question to both candidates, and they will each have up to two minutes to respond. From that point until the end of the segment, we'll have an open discussion. The questions are mine and have not been shared with the commission or the campaigns. The audience here in the room has agreed to remain silent so that we can focus on what the candidates are saying. I will invite you to applaud, however, at this moment, as we welcome the candidates: Democratic nominee for president of the United States, Hillary Clinton, and Republican nominee for president of the United States, Donald J. Trump."
HOLT,"Good luck to you. Well, I don't expect us to cover all the issues of this campaign tonight, but I remind everyone, there are two more presidential debates scheduled. We are going to focus on many of the issues that voters tell us are most important, and we're going to press for specifics. I am honored to have this role, but this evening belongs to the candidates and, just as important, to the American people. Candidates, we look forward to hearing you articulate your policies and your positions, as well as your visions and your values. So, let's begin. We're calling this opening segment ""Achieving Prosperity."" And central to that is jobs. There are two economic realities in America today. There's been a record six straight years of job growth, and new census numbers show incomes have increased at a record rate after years of stagnation. However, income inequality remains significant, and nearly half of Americans are living paycheck to paycheck. Beginning with you, Secretary Clinton, why are you a better choice than your opponent to create the kinds of jobs that will put more money into the pockets of American works?"
HOLT,"Secretary Clinton, thank you. Mr. Trump, the same question to you. It's about putting money - more money into the pockets of American workers. You have up to two minutes."
HOLT,"Secretary Clinton, would you like to respond?"
HOLT,"Let me follow up with Mr. Trump, if you can. You've talked about creating 25 million jobs, and you've promised to bring back millions of jobs for Americans. How are you going to bring back the industries that have left this country for cheaper labor overseas? How, specifically, are you going to tell American manufacturers that you have to come back?"
HOLT,"Let me interrupt just a moment, but..."
HOLT,"Back to the question, though. How do you bring back - specifically bring back jobs, American manufacturers? How do you make them bring the jobs back?"
HOLT,Let me let Secretary Clinton get in here.
HOLT,Mr. Trump?
HOLT,Very quickly...
HOLT,"Folks, we're going to..."
HOLT,We're going to move to...
HOLT,"Let me get you to pause right there, because we're going to move into - we're going to move into the next segment. We're going to talk taxes..."
HOLT,Please just take 30 seconds and then we're going to go on.
HOLT,"Well, you just opened the next segment."
HOLT,I'm going to give you a chance right here...
HOLT,... with a new 15-minute segment...
HOLT,"Mr. Trump, I'm going to..."
HOLT,"The next segment, we're continuing..."
HOLT,... achieving prosperity...
HOLT,"OK, you are unpacking a lot here. And we're still on the issue of achieving prosperity. And I want to talk about taxes. The fundamental difference between the two of you concerns the wealthy. Secretary Clinton, you're calling for a tax increase on the wealthiest Americans. I'd like you to further defend that. And, Mr. Trump, you're calling for tax cuts for the wealthy. I'd like you to defend that. And this next two-minute answer goes to you, Mr. Trump."
HOLT,"All right. You have two minutes of the same question to defend tax increases on the wealthiest Americans, Secretary Clinton."
HOLT,"This is - this is Secretary Clinton's two minutes, please."
HOLT,"Mr. Trump, this is Secretary Clinton's two minutes."
HOLT,"Mr. Trump, we're..."
HOLT,"Mr. Trump, we're talking about the burden that Americans have to pay, yet you have not released your tax returns. And the reason nominees have released their returns for decades is so that voters will know if their potential president owes money to - who he owes it to and any business conflicts. Don't Americans have a right to know if there are any conflicts of interest?"
HOLT,The IRS says an audit...
HOLT,"... of your taxes - you're perfectly free to release your taxes during an audit. And so the question, does the public's right to know outweigh your personal..."
HOLT,So it's negotiable?
HOLT,"Well, I'll let her answer that. But let me just admonish the audience one more time. There was an agreement. We did ask you to be silent, so it would be helpful for us. Secretary Clinton?"
HOLT,He also - he also raised the issue of your e-mails. Do you want to respond to that?
HOLT,Mr. Trump?
HOLT,We'll let you respond and we'll move on to the next segment.
HOLT,Let's let Mr. Trump...
HOLT,"Well, we're well behind schedule, so I want to move to our next segment. We move into our next segment talking about America's direction. And let's start by talking about race. The share of Americans who say race relations are bad in this country is the highest it's been in decades, much of it amplified by shootings of African-Americans by police, as we've seen recently in Charlotte and Tulsa. Race has been a big issue in this campaign, and one of you is going to have to bridge a very wide and bitter gap. So how do you heal the divide? Secretary Clinton, you get two minutes on this."
HOLT,Secretary Clinton...
HOLT,Secretary Clinton?
HOLT,"Secretary Clinton, last week, you said we've got to do everything possible to improve policing, to go right at implicit bias. Do you believe that police are implicitly biased against black people?"
HOLT,Mr. Trump...
HOLT,Please.
HOLT,"This conversation is about race. And so, Mr. Trump, I have to ask you for five..."
HOLT,Please - 20 seconds.
HOLT,"Please respond, then I've got a quick follow-up for you."
HOLT,"Mr. Trump, let me..."
HOLT,"Mr. Trump, I..."
HOLT,"Mr. Trump, for five years, you perpetuated a false claim that the nation's first black president was not a natural-born citizen. You questioned his legitimacy. In the last couple of weeks, you acknowledged what most Americans have accepted for years: The president was born in the United States. Can you tell us what took you so long?"
HOLT,That was...
HOLT,"I will let you respond. It's important. But I just want to get the answer here. The birth certificate was produced in 2011. You've continued to tell the story and question the president's legitimacy in 2012, '13, '14, '15..."
HOLT,".... as recently as January. So the question is, what changed your mind?"
HOLT,"I'm sorry. I'm just going to follow up - and I will let you respond to that, because there's a lot there. But we're talking about racial healing in this segment. What do you say to Americans, people of color who..."
HOLT,Secretary Clinton?
